page_id,type,slug,full_url,target_keyword,volume,kd,cluster,meta_title,meta_description_hint,word_count_target,schema_types,internal_links_to,internal_links_from,phase,week,status
P001,homepage,/,https://supatax.ai/,ai tax tools free,1100,52,commercial,"Free AI Tax Tools & Answers | SupaTax AI","Free AI-powered tax answers and calculators. No login required. Trusted by tax professionals.",800,WebApplication|Organization|FAQPage,/tax-answers/|/guides/|/tax-answers/is-homeowners-insurance-tax-deductible/|/tax-answers/what-is-backup-withholding/|/tax-answers/what-is-medicare-tax/,ALL PAGES link back here via header,1,1,existing-needs-update
P002,hub,/tax-answers/,https://supatax.ai/tax-answers/,tax answers,0,0,hub,"Tax Questions Answered by AI | SupaTax AI","Browse 150+ free AI-powered answers to the most common US tax questions.",600,CollectionPage|BreadcrumbList,P003-P150 all Q&A pages,homepage,1,1,build
P003,tax-answer,/tax-answers/what-is-backup-withholding/,https://supatax.ai/tax-answers/what-is-backup-withholding/,what is backup withholding,12000,1,income-concepts,"What Is Backup Withholding? (IRS Rules Explained)","Backup withholding is a 24% federal tax the IRS requires payers to withhold when you haven't provided a valid TIN. Here's exactly when it applies.",600,FAQPage|Article|BreadcrumbList,/tax-answers/backup-withholding/|/tax-answers/backup-withholding-meaning/|/tax-answers/taxable-interest/,/tax-answers/ hub|/guides/backup-withholding/|homepage,1,1,build
P004,tax-answer,/tax-answers/is-homeowners-insurance-tax-deductible/,https://supatax.ai/tax-answers/is-homeowners-insurance-tax-deductible/,is homeowners insurance tax deductible,3000,2,insurance-deductions,"Is Homeowners Insurance Tax Deductible? (2025 IRS Rules)","Homeowners insurance is NOT deductible for your personal home. But rental property owners can deduct it fully. We explain every exception.",650,FAQPage|Article|BreadcrumbList,/tax-answers/is-home-insurance-tax-deductible/|/tax-answers/is-mortgage-insurance-tax-deductible/|/tax-answers/are-closing-costs-tax-deductible/,/tax-answers/ hub|/guides/homeowner-tax-deductions/|homepage,1,1,build
P005,tax-answer,/tax-answers/what-is-medicare-tax/,https://supatax.ai/tax-answers/what-is-medicare-tax/,what is medicare tax,4200,3,income-concepts,"What Is Medicare Tax? Rates, Exemptions & Who Pays (2025)","Medicare tax is a 1.45% payroll tax on all wages, with an additional 0.9% for high earners. Self-employed pay 2.9% total. Full breakdown here.",600,FAQPage|Article|BreadcrumbList,/tax-answers/are-medicare-premiums-tax-deductible/|/tax-answers/what-is-sdi-tax/|/tax-answers/is-social-security-taxable-in-california/,/tax-answers/ hub|/guides/medicare-social-security-tax/,1,1,build
P006,tax-answer,/tax-answers/are-funeral-expenses-tax-deductible/,https://supatax.ai/tax-answers/are-funeral-expenses-tax-deductible/,are funeral expenses tax deductible,3900,2,deductions,"Are Funeral Expenses Tax Deductible? (Personal vs Estate)","Funeral expenses are NOT deductible on your personal return but ARE deductible on an estate tax return (Form 706). Full IRS rules here.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-union-dues-tax-deductible/|/tax-answers/are-closing-costs-tax-deductible/|/tax-answers/are-gofundme-donations-tax-deductible/,/tax-answers/ hub|/guides/overlooked-tax-deductions/,1,1,build
P007,tax-answer,/tax-answers/are-union-dues-tax-deductible/,https://supatax.ai/tax-answers/are-union-dues-tax-deductible/,are union dues tax deductible,3100,2,deductions,"Are Union Dues Tax Deductible in 2025? (TCJA Impact)","Union dues are no longer deductible on federal returns under the 2017 TCJA through 2025. Some states still allow the deduction. Full state-by-state guide.",550,FAQPage|Article|BreadcrumbList,/tax-answers/unreimbursed-employee-expenses/|/tax-answers/job-expenses-w2-income/|/tax-answers/are-funeral-expenses-tax-deductible/,/tax-answers/ hub|/guides/overlooked-tax-deductions/,1,1,build
P008,tax-answer,/tax-answers/what-is-sdi-tax/,https://supatax.ai/tax-answers/what-is-sdi-tax/,what is sdi tax,1100,0,income-concepts,"What Is SDI Tax? (State Disability Insurance Explained)","SDI tax is a California payroll deduction of 1.1% (2025 rate) that funds the state's disability and paid family leave program. Here's who pays it.",500,FAQPage|Article|BreadcrumbList,/tax-answers/sdi-tax/|/tax-answers/california-sdi-tax/|/tax-answers/what-is-medicare-tax/,/tax-answers/ hub,1,1,build
P009,tax-answer,/tax-answers/sdi-tax/,https://supatax.ai/tax-answers/sdi-tax/,sdi tax,2900,2,income-concepts,"SDI Tax: What It Is and How It Works in California (2025)","SDI (State Disability Insurance) is a California payroll tax at 1.1% of wages in 2025. We cover the rate, who pays it, and how to claim benefits.",550,FAQPage|Article|BreadcrumbList,/tax-answers/what-is-sdi-tax/|/tax-answers/california-sdi-tax/|/tax-answers/what-is-medicare-tax/,/tax-answers/ hub|/guides/medicare-social-security-tax/,1,1,build
P010,tax-answer,/tax-answers/are-gofundme-donations-tax-deductible/,https://supatax.ai/tax-answers/are-gofundme-donations-tax-deductible/,are gofundme donations tax deductible,2500,4,deductions,"Are GoFundMe Donations Tax Deductible? (IRS Rules 2025)","GoFundMe donations to personal campaigns are NOT tax deductible. Donations through GoFundMe Charity may be deductible if the recipient is a 501(c)(3).",500,FAQPage|Article|BreadcrumbList,/tax-answers/are-funeral-expenses-tax-deductible/|/tax-answers/are-closing-costs-tax-deductible/|/tax-answers/are-union-dues-tax-deductible/,/tax-answers/ hub,1,1,build
P011,tax-answer,/tax-answers/is-car-insurance-tax-deductible/,https://supatax.ai/tax-answers/is-car-insurance-tax-deductible/,is car insurance tax deductible,1600,2,insurance-deductions,"Is Car Insurance Tax Deductible? (Business vs Personal Use)","Car insurance is NOT deductible for personal vehicles. If you use your car for business, you can deduct the business-use portion. Full IRS rules inside.",550,FAQPage|Article|BreadcrumbList,/tax-answers/is-homeowners-insurance-tax-deductible/|/tax-answers/unreimbursed-employee-expenses/|/tax-answers/job-expenses-w2-income/,/tax-answers/ hub,1,1,build
P012,tax-answer,/tax-answers/are-closing-costs-tax-deductible/,https://supatax.ai/tax-answers/are-closing-costs-tax-deductible/,are closing costs tax deductible,1500,2,insurance-deductions,"Are Closing Costs Tax Deductible? (What You Can and Can't Claim)","Most closing costs are NOT immediately deductible. Mortgage points and property taxes paid at closing may be deductible. Full breakdown by line item.",600,FAQPage|Article|BreadcrumbList,/tax-answers/is-homeowners-insurance-tax-deductible/|/tax-answers/is-mortgage-insurance-tax-deductible/|/tax-answers/are-401k-contributions-tax-deductible/,/tax-answers/ hub|/guides/homeowner-tax-deductions/,1,1,build
P013,tax-answer,/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/,https://supatax.ai/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/,if i pay child support can i claim my child on taxes,2800,0,child-family,"If I Pay Child Support Can I Claim My Child on Taxes? (2025 IRS Rules)","Paying child support does NOT automatically give you the right to claim the child dependent exemption. That right belongs to the custodial parent by default.",600,FAQPage|Article|BreadcrumbList,/tax-answers/if-you-pay-child-support-can-you-claim-child-on-taxes-2026/|/tax-answers/can-father-claim-child-on-taxes/|/tax-answers/qualifying-widower/,/tax-answers/ hub|/guides/child-tax-benefits/,1,1,build
P014,tax-answer,/tax-answers/why-is-receiving-large-tax-refund-bad/,https://supatax.ai/tax-answers/why-is-receiving-large-tax-refund-bad/,why is receiving a large tax refund a bad thing,1900,0,irs-refunds,"Why Is Receiving a Large Tax Refund a Bad Thing? (Financial Experts Explain)","A large tax refund means you overpaid the IRS all year — giving them an interest-free loan of your own money. Here's what to do instead.",500,FAQPage|Article|BreadcrumbList,/tax-answers/how-long-tax-refund-show-bank-account/|/tax-answers/what-is-tax-liability-zero/|/tax-answers/irs-treas-310-tax-ref/,/tax-answers/ hub,1,1,build
P015,tax-answer,/tax-answers/what-is-tax-exempt-interest-income/,https://supatax.ai/tax-answers/what-is-tax-exempt-interest-income/,what is tax exempt interest income,1300,0,income-concepts,"What Is Tax-Exempt Interest Income? (Form 1040 Line 2a)","Tax-exempt interest income is interest from municipal bonds or other federally exempt sources. It goes on Form 1040 Line 2a and is not taxed federally.",550,FAQPage|Article|BreadcrumbList,/tax-answers/tax-exempt-interest-income/|/tax-answers/taxable-interest/|/tax-answers/backup-withholding/,/tax-answers/ hub,1,1,build
P016,tax-answer,/tax-answers/inheritance-tax-california/,https://supatax.ai/tax-answers/inheritance-tax-california/,inheritance tax california,1700,0,state-tax,"Inheritance Tax in California: Does It Exist? (2025 Guide)","California has NO inheritance tax and NO estate tax. Inherited assets may have capital gains implications, but there's no California-specific death tax.",500,FAQPage|Article|BreadcrumbList,/tax-answers/california-inheritance-tax/|/tax-answers/prop-19-loopholes/|/tax-answers/california-capital-gains-tax/,/tax-answers/ hub|/guides/california-tax-guide/,1,1,build
P017,tax-answer,/tax-answers/do-gift-cards-have-tax/,https://supatax.ai/tax-answers/do-gift-cards-have-tax/,do gift cards have tax,1200,0,deductions,"Do Gift Cards Have Tax? (Sales Tax, Income Tax & Gift Tax Rules)","Gift card taxation depends on the context: employee gift cards are taxable income. Customer gift cards trigger tax when redeemed, not purchased. Full rules.",500,FAQPage|Article|BreadcrumbList,/tax-answers/taxable-interest/|/tax-answers/are-gofundme-donations-tax-deductible/|/tax-answers/what-is-tax-liability-zero/,/tax-answers/ hub,1,2,build
P018,tax-answer,/tax-answers/backup-withholding/,https://supatax.ai/tax-answers/backup-withholding/,backup withholding,13000,10,income-concepts,"Backup Withholding: What It Is and How to Stop It (2025)","Backup withholding is a 24% flat rate the IRS forces payers to withhold when your TIN is missing or incorrect. Here's what triggers it and how to fix it.",650,FAQPage|Article|BreadcrumbList,/tax-answers/what-is-backup-withholding/|/tax-answers/backup-withholding-meaning/|/tax-answers/taxable-interest/,/tax-answers/ hub|/guides/backup-withholding/,2,3,build
P019,tax-answer,/tax-answers/irs-treas-310-tax-ref/,https://supatax.ai/tax-answers/irs-treas-310-tax-ref/,irs treas 310 tax ref,5900,5,irs-refunds,"IRS TREAS 310 TAX REF: What This Deposit Means (2025)","IRS TREAS 310 TAX REF is a direct deposit code for federal tax refunds. If you see it in your bank account, the IRS has processed and sent your refund.",600,FAQPage|Article|BreadcrumbList,/tax-answers/irs-treas-310/|/tax-answers/how-long-tax-refund-show-bank-account/|/tax-answers/why-is-receiving-large-tax-refund-bad/,/tax-answers/ hub|/guides/irs-treas-310/,2,3,build
P020,tax-answer,/tax-answers/how-long-tax-refund-show-bank-account/,https://supatax.ai/tax-answers/how-long-tax-refund-show-bank-account/,how long does it take for tax refund to show in bank account after approved,17000,13,irs-refunds,"How Long for Tax Refund to Show in Bank After Approved? (2025 IRS Timeline)","After approval, your refund usually appears in your bank account within 1–5 business days. E-filed returns: 21 days total. Paper returns: 6–8 weeks. Full timeline.",700,FAQPage|Article|BreadcrumbList,/tax-answers/irs-treas-310-tax-ref/|/tax-answers/irs-treas-310/|/tax-answers/why-is-receiving-large-tax-refund-bad/,/tax-answers/ hub|/guides/irs-treas-310/,2,3,build
P021,tax-answer,/tax-answers/tax-exempt-interest-income/,https://supatax.ai/tax-answers/tax-exempt-interest-income/,tax exempt interest income,5200,3,income-concepts,"Tax-Exempt Interest Income: What Counts and How to Report It","Tax-exempt interest income includes municipal bond interest and US territory bond interest. It's reported on Form 1040 Line 2a but not included in taxable income.",600,FAQPage|Article|BreadcrumbList,/tax-answers/what-is-tax-exempt-interest-income/|/tax-answers/taxable-interest/|/tax-answers/backup-withholding/,/tax-answers/ hub|/guides/backup-withholding/,2,3,build
P022,tax-answer,/tax-answers/california-capital-gains-tax/,https://supatax.ai/tax-answers/california-capital-gains-tax/,california capital gains tax,4500,4,state-tax,"California Capital Gains Tax Rate 2025: What You'll Pay","California taxes capital gains as ordinary income — rates from 1% to 13.3%. No special long-term rate. One of the highest capital gains taxes in the US.",650,FAQPage|Article|BreadcrumbList,/tax-answers/capital-gains-tax-florida/|/tax-answers/california-inheritance-tax/|/tax-answers/does-california-tax-social-security/,/tax-answers/ hub|/guides/california-tax-guide/,2,3,build
P023,tax-answer,/tax-answers/afr-rates/,https://supatax.ai/tax-answers/afr-rates/,afr rates,5300,7,income-concepts,"AFR Rates (Applicable Federal Rates) — March 2026 Update","Applicable Federal Rates (AFR) are IRS-set minimum interest rates for family loans and deferred payments. Published monthly. Current rates listed here.",600,FAQPage|Article|BreadcrumbList,/tax-answers/afr-rate/|/tax-answers/what-is-tax-liability-zero/|/tax-answers/backup-withholding/,/tax-answers/ hub,2,3,build
P024,tax-answer,/tax-answers/are-medicare-premiums-tax-deductible/,https://supatax.ai/tax-answers/are-medicare-premiums-tax-deductible/,are medicare premiums tax deductible,2200,4,income-concepts,"Are Medicare Premiums Tax Deductible in 2025?","Medicare Part B and D premiums are deductible as medical expenses if you itemize AND they exceed 7.5% of AGI. Self-employed people can deduct 100%.",600,FAQPage|Article|BreadcrumbList,/tax-answers/what-is-medicare-tax/|/tax-answers/are-disability-benefits-taxable/|/tax-answers/is-severance-pay-taxable/,/tax-answers/ hub|/guides/medicare-social-security-tax/,2,3,build
P025,tax-answer,/tax-answers/are-401k-contributions-tax-deductible/,https://supatax.ai/tax-answers/are-401k-contributions-tax-deductible/,are 401k contributions tax deductible,1900,7,deductions,"Are 401k Contributions Tax Deductible? (2025 Limits)","Traditional 401k contributions reduce your taxable income dollar-for-dollar. 2025 limit is $23,500 ($31,000 if 50+). Roth 401k contributions are NOT deductible.",600,FAQPage|Article|BreadcrumbList,/tax-answers/do-you-report-roth-ira-on-taxes/|/tax-answers/are-medicare-premiums-tax-deductible/|/tax-answers/is-voluntary-life-insurance-pre-tax/,/tax-answers/ hub,2,4,build
P026,tax-answer,/tax-answers/do-you-report-roth-ira-on-taxes/,https://supatax.ai/tax-answers/do-you-report-roth-ira-on-taxes/,do you report roth ira on taxes,2100,3,deductions,"Do You Report Roth IRA on Taxes? (What to File and What to Skip)","Roth IRA contributions are NOT reported on your tax return. Roth IRA earnings are also tax-free in retirement. The only reporting needed: early withdrawal on Form 5329.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-401k-contributions-tax-deductible/|/tax-answers/is-severance-pay-taxable/|/tax-answers/are-disability-benefits-taxable/,/tax-answers/ hub,2,4,build
P027,tax-answer,/tax-answers/is-severance-pay-taxable/,https://supatax.ai/tax-answers/is-severance-pay-taxable/,is severance pay taxable,1600,6,deductions,"Is Severance Pay Taxable? (Federal + State Rules 2025)","Yes, severance pay is fully taxable as ordinary income. Federal income tax, Social Security, and Medicare taxes all apply. Your employer withholds at the supplemental rate.",550,FAQPage|Article|BreadcrumbList,/tax-answers/are-disability-benefits-taxable/|/tax-answers/do-you-report-roth-ira-on-taxes/|/tax-answers/unreimbursed-employee-expenses/,/tax-answers/ hub,2,4,build
P028,tax-answer,/tax-answers/qualifying-widower/,https://supatax.ai/tax-answers/qualifying-widower/,qualifying widower,2800,10,child-family,"Qualifying Surviving Spouse (Widow/Widower): Tax Status Explained","Qualifying Surviving Spouse (formerly Qualifying Widower) lets you use Married Filing Jointly rates for 2 years after spouse's death if you have a dependent child.",600,FAQPage|Article|BreadcrumbList,/tax-answers/can-you-file-head-of-household-if-married/|/tax-answers/can-father-claim-child-on-taxes/|/tax-answers/if-i-pay-child-support-can-i-claim-my-child-on-taxes/,/tax-answers/ hub|/guides/child-tax-benefits/,2,4,build
P029,tax-answer,/tax-answers/does-california-tax-social-security/,https://supatax.ai/tax-answers/does-california-tax-social-security/,does california tax social security,3700,7,state-tax,"Does California Tax Social Security Benefits? (2025)","California does NOT tax Social Security benefits — one of the few states that fully exempts them at the state level. Federal taxes may still apply.",500,FAQPage|Article|BreadcrumbList,/tax-answers/is-social-security-taxable-in-california/|/tax-answers/california-capital-gains-tax/|/tax-answers/what-is-medicare-tax/,/tax-answers/ hub|/guides/california-tax-guide/,2,4,build
P030,tax-answer,/tax-answers/capital-gains-tax-florida/,https://supatax.ai/tax-answers/capital-gains-tax-florida/,capital gains tax florida,3300,11,state-tax,"Capital Gains Tax in Florida: Does the State Tax It? (2025)","Florida has NO state income tax and NO capital gains tax. You only owe federal capital gains tax (0%, 15%, or 20% depending on income). Full breakdown.",550,FAQPage|Article|BreadcrumbList,/tax-answers/california-capital-gains-tax/|/tax-answers/inheritance-tax-california/|/tax-answers/does-california-tax-social-security/,/tax-answers/ hub|/guides/california-tax-guide/,2,4,build
